Instance Size,vCPU,Memory (GiB),Instance Storage (GiB),Network Bandwidth (Gbps),EBS Bandwidth (Mbps)
c6g.medium,1,2,EBS-Only,Up to 10,48
c6g.large,2,4,EBS-Only,Up to 10,48
c6g.xlarge,4,8,EBS-Only,Up to 10,48
c6g.2xlarge,8,16,EBS-Only,Up to 10,5
c6g.4xlarge,16,32,EBS-Only,Up to 10,40
c6g.8xlarge,32,64,EBS-Only,12,9
c6g.12xlarge,48,96,EBS-Only,20,13
c6g.16xlarge,64,128,EBS-Only,25,19
c6g.metal,64,128,EBS-Only,25,19
c6gd.medium,1,2,1 x 59 NVMe SSD,Up to 10,48
c6gd.large,2,4,1 x 118 NVMe SSD,Up to 10,48
c6gd.xlarge,4,8,1 x 237 NVMe SSD,Up to 10,48
c6gd.2xlarge,8,16,1 x 474 NVMe SSD,Up to 10,5
c6gd.4xlarge,16,32,1 x 950 NVMe SSD,Up to 10,5
c6gd.8xlarge,32,64,1 x 1900 NVMe SSD,12,9
c6gd.12xlarge,48,96,2 x 1425 NVMe SSD,20,14
c6gd.16xlarge,64,128,2 x 1900 NVMe SSD,25,19
c6gd.metal,64,128,2 x 1900 NVMe SSD,25,19
c6gn.medium,1,2,EBS-Only,Up to 25,95
c6gn.large,2,4,EBS-Only,Up to 25,95
c6gn.xlarge,4,8,EBS-Only,Up to 25,95
c6gn.2xlarge,8,16,EBS-Only,Up to 25,95
c6gn.4xlarge,16,32,EBS-Only,25,95
c6gn.8xlarge,32,64,EBS-Only,50,19
c6gn.12xlarge,48,96,EBS-Only,75,285
c6gn.16xlarge,64,128,EBS-Only,100,38
c5.large,2,4,EBS-Only,Up to 10,5
c5.xlarge,4,8,EBS-Only,Up to 10,48
c5.2xlarge,8,16,EBS-Only,Up to 10,5
c5.4xlarge,16,32,EBS-Only,Up to 10,5
c5.9xlarge,36,72,EBS-Only,10,10
c5.12xlarge,48,96,EBS-Only,12,95
c5.18xlarge,72,144,EBS-Only,25,190
c5.24xlarge,96,192,EBS-Only,25,16
c5.metal,96,192,EBS-Only,25,18
c5d.large,2,4,1 x 50 NVMe SSD,Up to 10,5
c5d.xlarge,4,8,1 x 100 NVMe SSD,Up to 10,5
c5d.2xlarge,8,16,1 x 200 NVMe SSD,Up to 10,5
c5d.4xlarge,16,32,1 x 400 NVMe SSD,Up to 10,5
c5d.9xlarge,36,72,1 x 900 NVMe SSD,10,10
c5d.12xlarge,48,96,2 x 900 NVMe SSD,12,10
c5d.18xlarge,72,144,2 x 900 NVMe SSD,25,19
c5d.24xlarge,96,192,4 x 900 NVMe SSD,25,19
c5d.metal,96,192,4 x 900 NVMe SSD,25,19
